Прізвище;Ім’я;По батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Височан;Алла;Олегівна;Жіноча;2000-01-03;Прокурор;місто Ірміно;вулиця Крушельницької, буд. 60 кв. 458;048 779-26-61;opanas75@example.com
Червоненко;Ірена;Богданівна;Жіноча;1960-10-28;Патологоанатом;селище Бар;парк Щоглова, буд. 036 кв. 5;+380 68 561 58 98;valentynanosachenko@example.org
Михалюк;Марʼяна;Олексіївна;Жіноча;2001-10-20;Єгер;селище Щастя;сквер Пересипський 2-й, буд. 50;084 736 56 57;leonidkhmara@example.net
Ващенко-Захарченко;Еріка;Романівна;Жіноча;1956-05-29;Візажист;місто Судак;шосе Рачкова, буд. 34;025 558-92-75;qturkalo@example.org
Івасюк;Макар;Степанович;Чоловіча;1944-03-11;Краєзнавець;селище Дубляни;сквер Іспанська, буд. 124;+380 87 708-42-04;vermenychsvitlana@example.org
Полтавець;Захар;Сергійович;Чоловіча;1954-10-31;Реабілітолог;хутір Очаків;проспект Цимлянська, буд. 8;+380 (91) 759-02-17;illia56@example.org
Тесля;Тереза;Анатоліївна;Жіноча;1985-08-06;Ветеринар;село Харцизьк;парк Добровольців, буд. 5;075 018-72-89;paliiolena@example.net
Цюцюра;Олег;Михайлович;Чоловіча;1961-03-09;Кухар;селище Глобине;проспект Сирітський, буд. 9 кв. 92;+380 00 055-06-38;cshchors@example.com
Бандура;Семен;Миколайович;Чоловіча;1978-02-04;Електрик;місто Жданівка;узвіз Нечипуренка, буд. 4 кв. 84;+380 67 804-97-94;jpetrenko@example.net
Шамрай;Максим;Володимирович;Чоловіча;2000-08-10;Адвокат;село Ужгород;проспект Восьмого березня, буд. 01 кв. 0;+380 40 521-68-10;khudiaktetiana@example.com
Чарниш;Дан;Степанович;Чоловіча;1955-01-13;Няня;селище Радомишль;узвіз Північна, буд. 54;+380 35 334-69-99;evanchenko@example.net
Луценко;Ігнат;Миколайович;Чоловіча;1939-04-15;М'ясник;місто Золочів;сквер Путівна, буд. 510 кв. 049;+380 02 419 72 66;vitalii84@example.net
Артимович;Теодор;Андрійович;Чоловіча;1993-08-20;Круп'є;село Феодосія;парк Бучми, буд. 80 кв. 3;054 678 75 12;prymachenkosolomiia@example.org
Тригуб;Федір;Юрійович;Чоловіча;1975-11-05;Письменник;хутір Івано-Франківськ;сквер Бузкова, буд. 60 кв. 596;+380 12 048-24-04;azar82@example.net
Перебийніс;Пантелеймон;Ігорович;Чоловіча;1997-06-23;Електромонтажник;місто Богуслав;набережна Удільний, буд. 1 кв. 53;+380 31 110 80 48;symon20@example.net
Назаренко;Леонід;Тарасович;Чоловіча;2005-06-20;Вчитель;місто Городня;набережна Аеропортівський 1-й, буд. 9;+380 06 541 27 98;albinaverkhovynets@example.org
Килимник;Максим;Тарасович;Чоловіча;2006-10-17;Круп'є;хутір Ладижин;проспект Шептицького, буд. 3 кв. 2;052 354 48 64;fesenkovenedykt@example.com
Дейнеко;Орхип;Степанович;Чоловіча;2001-01-08;Електромонтер;село Сіверськ;набережна Юннатів 1-й, буд. 5;+380 86 769-53-40;bohdaniarosh@example.net
Бабійчук;Аркадій;Сергійович;Чоловіча;1941-03-14;Медик;хутір Глухів;проспект Обривиста, буд. 84 кв. 81;491 28 77;rvermenych@example.org
Кабаненко;Марина;Миколаївна;Жіноча;1958-04-28;Ді-джей;селище Бахчисарай;провулок Запорізька, буд. 24 кв. 033;073 45 04;xhrytsenko@example.net
Філіпенко;Максим;Богданович;Чоловіча;1950-04-11;Круп'є;місто Перечин;узвіз Вірського, буд. 7 кв. 4;599-31-13;les65@example.org
Зайченко;Петро;Вікторович;Чоловіча;2001-07-04;Модельєр;селище Вознесенськ;шосе Давида Ойстраха, буд. 96;039 866 44 95;ostap89@example.net
Романець;Віктор;Дмитрович;Чоловіча;1941-08-02;Випробувач;село Городенка;провулок Вузький, буд. 261;+380 08 662 05 17;edytatarasenko@example.org
Примаченко;Надія;Григорівна;Жіноча;1980-01-26;Адвокат;місто Мостиська;сквер Рівності 1-й, буд. 99;+380 (29) 683-14-18;makar73@example.net
Уманець;Альбіна;Григорівна;Жіноча;1945-08-06;Дантист;хутір Ізюм;вулиця Чорноморка, буд. 5 кв. 284;071 231 51 13;marusia45@example.net
Бабич;Роман;Олександрович;Чоловіча;2007-04-12;Живописець;хутір Приморськ;парк Зоопаркова, буд. 801 кв. 15;027 635 01 36;iesypenkodavyd@example.com
Проценко;Теодор;Юрійович;Чоловіча;1955-12-17;Стиліст;селище Жмеринка;набережна Горбатий міст, буд. 6 кв. 07;+380 12 799-90-94;vasylmatviienko@example.com
Зарудний;Дан;Андрійович;Чоловіча;1968-12-14;Складальник;селище Іловайськ;площа Обільна, буд. 901;232 62 87;fstets@example.org
Салій;Соломон;Михайлович;Чоловіча;1993-01-23;Редактор;хутір Гайворон;провулок Бандурний, буд. 1 кв. 60;612 70 11;romanetsivan@example.org
Журба;Панас;Володимирович;Чоловіча;1992-11-03;Лікар;селище Лохвиця;парк Лузанівський, буд. 50;042 760-80-50;karmaliukveniiamyn@example.net
Їжакевич;Марія;Ігорівна;Жіноча;1991-01-18;Астроном;селище Українськ;узвіз Дмитріївська, буд. 8 кв. 7;067 047-73-13;bkorbut@example.net
Цюпа;Лесь;Дмитрович;Чоловіча;1969-02-18;Музикознавець;хутір Кропивницький;сквер Бахчисарайська, буд. 015;132 03 73;opanaskorpaniuk@example.net
Адамчук;Михайлина;Олександрівна;Жіноча;1964-08-14;Нотаріус;місто Синельникове;парк Лінія 25-та, буд. 45;679 67 06;makar24@example.net
Девдюк;Вадим;Михайлович;Чоловіча;2003-03-02;Педагог;селище Багачеве;проспект Наявний 4-й, буд. 44 кв. 1;780 14 54;charnyshiaroslava@example.net
Бабійчук;Василь;Сергійович;Чоловіча;1982-12-09;Актор;село Молочанськ;провулок Сливова, буд. 437;260-08-62;marusia71@example.net
Цимбал;Данна;Іванівна;Жіноча;1965-10-14;Вчитель;село Пустомити;шосе Ювілейний 1-й, буд. 369 кв. 091;+380 99 187 34 09;bandurkamykhailo@example.com
Євдокименко;Леопольд;Михайлович;Чоловіча;1959-10-11;Медик;село Тернівка;набережна Маразліївська, буд. 2 кв. 1;094 473-79-71;ahrytsenko@example.net
Забіла;Людмила;Дмитрівна;Жіноча;2008-02-01;Композитор;село Теребовля;провулок Чорноморський 10-й, буд. 5 кв. 6;090 318-31-99;anastasiiaandriiovych@example.org
Колісниченко;Віра;Олегівна;Жіноча;1956-07-10;Паралегал;місто Мар'їнка;набережна Горбиста, буд. 403 кв. 413;+380 (25) 888-77-67;wdrobiazko@example.org
Юрчук;Феофан;Григорович;Чоловіча;2001-03-30;Няня;місто Глиняни;узвіз Сергія Ядова, буд. 86 кв. 999;+380 29 889-90-12;tnalyvaiko@example.com
Савенко;Давид;Дмитрович;Чоловіча;2007-06-19;Етнограф;селище Київ;узвіз Покровський, буд. 4;+380 (46) 914-53-83;markoturkalo@example.com
Вишиваний;Андрій;Григорович;Чоловіча;1993-11-03;Біолог;село Ладижин;проспект Дальницька, буд. 2;+380 33 054 44 56;andreikovira@example.org
Тригуб;Гаврило;Михайлович;Чоловіча;1982-03-21;Живописець;селище Енергодар;сквер Бродська, буд. 29;167-82-83;shamraikamilla@example.com
Кащенко;Еріка;Петрівна;Жіноча;1960-02-26;Журналіст;селище Сіверськодонецьк;сквер Лютневий 1-й, буд. 6;+380 23 031 80 31;bevzalina@example.org
Перепелиця;Орхип;Олексійович;Чоловіча;1978-03-16;Стропальник;селище Теплодар;вулиця Теофіла Фраєрмана, буд. 42;+380 21 604-33-48;frudyk@example.org
Шинкаренко;Лариса;Сергіївна;Жіноча;1992-05-29;Ді-джей;селище Шумськ;сквер Квіткова, буд. 261;+380 (35) 102-25-24;frankoanzhela@example.net
Чорновіл;Камілла;Вікторівна;Жіноча;1975-07-23;Архітектор;село Старокостянтинів;площа Естонська, буд. 54 кв. 7;018 203 68 94;odarkazabara@example.net
Євтушок;Любов;Михайлівна;Жіноча;1968-09-09;Економіст;місто Ямпіль;проспект Миколаївський 1-й, буд. 302;+380 76 892-50-58;parmenvasylechko@example.com
Скопенко;Анжела;Іванівна;Жіноча;2003-11-30;Гінеколог;село Баштанка;вулиця Ветеранів праці, буд. 467 кв. 7;+380 20 605-56-17;ochupryna@example.net
Щириця;Богуслава;Тарасівна;Жіноча;1963-09-11;Редактор;хутір Болехів;набережна Ніжинська, буд. 0;+380 84 882 77 47;ostap23@example.org
Штепа;Віктор;Олегович;Чоловіча;1997-01-24;Дерун;місто Пологи;сквер Рибальська балка, буд. 28;+380 (15) 759-40-27;vbandurka@example.com
Дейнеко;Єфрем;Анатолійович;Чоловіча;1968-03-14;Письменник;село Миргород;шосе Галини Могильницької, буд. 4;+380 35 503 02 84;zarudnaonysym@example.com
Онуфрієнко;Степан;Анатолійович;Чоловіча;1956-08-08;Художник;село Боярка;провулок Бреуса Якова, буд. 7;+380 32 743-49-92;vlasiukvalentyn@example.org
Засуха;Климент;Михайлович;Чоловіча;1948-06-20;Паралегал;місто Болград;провулок Олександра Тимошенка, буд. 560;+380 39 398 04 64;alevtyn83@example.com
Зінчук;Трохим;Анатолійович;Чоловіча;1951-11-09;Правник;хутір Добромиль;сквер Бєлякова, буд. 0 кв. 21;+380 (02) 253-19-50;taranorkhyp@example.net
Бабій;Ігор;Дмитрович;Чоловіча;2005-12-26;Громадський діяч;село Болград;узвіз Дружний, буд. 3 кв. 85;769 15 52;alla93@example.org
Ейбоженко;Роман;Тарасович;Чоловіча;1999-04-11;Продюсер;селище Мелітополь;узвіз Проектний 5-й, буд. 0;+380 62 726 52 14;xfastenko@example.net
Литвин;Захар;Ігорович;Чоловіча;1981-09-15;Клоун;хутір Обухів;узвіз Аеродромний 2-й, буд. 94 кв. 45;058 816 30 36;lysenkoieva@example.com
Акименко;Гаврило;Григорович;Чоловіча;2007-04-21;Кур'єр;місто Хотин;проспект Дачний, буд. 246 кв. 4;+380 (29) 978-77-52;alemeshko@example.org
Юрчишин;Панас;Сергійович;Чоловіча;2007-09-11;Економіст;місто Рогатин;шосе Крутоярська, буд. 3 кв. 84;043 808 10 03;chumakfrants@example.net
Дубенко;Юхим;Романович;Чоловіча;1999-07-13;Професор;місто Гуляйполе;шосе Пересипська 6-та, буд. 316;+380 36 418-97-78;snizhanakalenychenko@example.org
Тимченко;Богданна;Романівна;Жіноча;1956-01-19;Гицель;місто Шостка;провулок Пересипська 1-ша, буд. 1 кв. 1;+380 16 989-69-17;eavramenko@example.org
Бандурка;Тереза;Сергіївна;Жіноча;1985-08-30;Археолог;хутір Харків;вулиця Молокова, буд. 53 кв. 0;+380 13 951-87-13;iurchenkoieva@example.org
Ґерус;Ярослава;Сергіївна;Жіноча;2000-07-24;Намотувальник;селище Яремче;узвіз Карпатська, буд. 1 кв. 514;067 796 46 58;demydenkorozaliia@example.org
Деревʼянко;Семен;Петрович;Чоловіча;1976-10-24;Стоматолог;хутір Лутугине;шосе Флотський 4-й, буд. 436 кв. 260;+380 73 636-15-42;karpaheorhii@example.org
Чуприна;Альберт;Петрович;Чоловіча;1946-06-02;Детектив;село Деражня;сквер Дунайська, буд. 2;+380 06 568-16-06;ovsiienkotereza@example.com
Джунь;Тетяна;Володимирівна;Жіноча;1973-03-31;Електрик;місто Єнакієве;набережна Вишнева, буд. 17;938-37-46;volodymyrashevchenko@example.com
Тесля;Любов;Андріївна;Жіноча;1945-08-05;Піаніст;селище Вільногірськ;узвіз Вінницька, буд. 8;169 23 30;suprunenkoamvrosii@example.net
Лаба;Амалія;Сергіївна;Жіноча;1995-12-01;Астронавт;місто Багачеве;набережна Василя Берладяну, буд. 6 кв. 736;014 996-24-30;odarkaromanchuk@example.com
Щириця;Алевтин;Володимирович;Чоловіча;1995-07-13;Кушнір;селище Лохвиця;узвіз Щоголєва, буд. 12 кв. 537;+380 (16) 478-63-23;pustovitalevtyn@example.com
Базилевський;Олекса;Миколайович;Чоловіча;1983-01-07;Провізор;село Корсунь-Шевченківський;вулиця Стельмаха, буд. 22;030 412-19-79;atroshchenkobohdanna@example.net
Фесенко;Алла;Дмитрівна;Жіноча;1967-12-11;Палеонтолог;село Ворожба;набережна Маразліївська, буд. 307;+380 29 217-51-43;vdovenkomarko@example.com
Яценко;Борис;Анатолійович;Чоловіча;1959-11-22;Науковець;хутір Золоте;парк Селекційна, буд. 3 кв. 35;+380 06 712 36 07;ruslandrobakha@example.net
Самойленко;Роман;Ігорович;Чоловіча;1984-11-30;Бібліограф;селище Макіївка;проспект Морська, буд. 412;372 90 33;iosyparkhymovych@example.net
Фаренюк;Антон;Петрович;Чоловіча;2003-03-13;Громадський діяч;місто Помічна;сквер Віталія Гуляєва, буд. 96;+380 (46) 272-19-01;iaremkovenedykt@example.net
Юрчишин;Аркадій;Володимирович;Чоловіча;1950-10-01;Дипломат;хутір Горлівка;шосе Будівельна, буд. 896 кв. 11;+380 95 638-75-60;valentyndemianenko@example.com
Балабан;Леон;Богданович;Чоловіча;1983-04-09;Музикознавець;місто Борщів;проспект Балківська, буд. 40;+380 45 275-80-86;evashchenko@example.org
Карась;Орхип;Андрійович;Чоловіча;1976-01-27;Математик;хутір Коростень;парк Леся Курбаса, буд. 16;094 166 47 26;iaryna85@example.net
Василевич;Клавдія;Дмитрівна;Жіноча;1997-05-15;Секретар;селище Залізне;набережна Добровольців, буд. 26 кв. 7;083 793 10 77;zpalii@example.com
Масоха;Марʼяна;Сергіївна;Жіноча;1967-01-10;Електромонтажник;місто Конотоп;набережна Чумацька, буд. 62;+380 58 521 96 74;hlibradchenko@example.org
Гайденко;Варвара;Олександрівна;Жіноча;1985-04-28;Флорист;хутір Мелітополь;шосе Ждахи, буд. 9;+380 77 175 74 50;babychenkopanteleimon@example.com
Цушко;Ганна;Андріївна;Жіноча;1994-12-30;Музикант;місто Жданівка;площа Сливова, буд. 99;118 26 67;qchumachenko@example.net
Іваничук;Валерій;Іванович;Чоловіча;1951-04-07;Художник;село Баранівка;парк Деревообробна, буд. 66;+380 84 267-26-15;fartushniakokhrim@example.com
Корсун;Емілія;Володимирівна;Жіноча;1984-07-26;Випробувач;село Мар'їнка;шосе Авіаційна, буд. 172 кв. 526;070 285 29 27;xvenhrynovych@example.org
Доценко;Ганна;Володимирівна;Жіноча;1949-12-23;Пілот;місто Богодухів;площа Донорська, буд. 750 кв. 40;083 421-05-65;bshylo@example.net
Петренко;Едуард;Олексійович;Чоловіча;1944-11-04;Реабілітолог;хутір Сокаль;узвіз Економічний, буд. 666 кв. 396;958-32-95;kierchenko@example.org
Лукаш;Тереза;Олегівна;Жіноча;1953-12-20;Бізнесмен;місто Конотоп;провулок Середньофонтанська, буд. 5 кв. 0;+380 35 840-65-05;chumakostap@example.org
Демиденко;Демʼян;Анатолійович;Чоловіча;1942-01-03;Льотчик;село Пологи;вулиця Цементний, буд. 6 кв. 5;517 76 24;volodymyr31@example.net
Затовканюк;Орина;Петрівна;Жіноча;1958-10-01;Бухгалтер;місто Золотоноша;провулок Липнева, буд. 2;188-25-86;odubenko@example.net
Опанасенко;Дмитро;Сергійович;Чоловіча;1956-01-19;Слідчий;хутір Тетіїв;сквер Карпатська, буд. 5;+380 40 372-84-49;hordii25@example.net
Рябець;Максим;Степанович;Чоловіча;2001-05-29;Секретар;хутір Надвірна;провулок Мусіна, буд. 700 кв. 4;+380 (11) 849-02-39;huziifedir@example.net
Чміль;Павло;Анатолійович;Чоловіча;1974-08-25;Стропальник;селище Хирів;площа Героїв Зміїного, буд. 71;+380 19 002-95-40;heorhii63@example.org
Талан;Пантелеймон;Юрійович;Чоловіча;1995-08-17;Науковець;місто Багачеве;шосе Бориса Кифоренка, буд. 7;+380 48 778-13-84;qisaienko@example.org
Шахрай;Марʼяна;Тарасівна;Жіноча;1951-12-23;Гицель;місто Яготин;проспект Міцкевича, буд. 992;678-60-77;petrykmarta@example.org
Рябченко;Леон;Дмитрович;Чоловіча;1971-08-04;Дипломат;місто Сміла;парк Хвойний, буд. 642 кв. 716;092 313-27-12;parmen56@example.com
Голобородько;Миколай;Сергійович;Чоловіча;1971-03-15;Мистецтвознавець;село Новгород-Сіверський;проспект Студентський 2-й, буд. 12 кв. 08;011 628-16-20;ieremenkoorkhyp@example.net
Непорожній;Данна;Сергіївна;Жіноча;1995-09-21;Єгер;село Оріхів;проспект Охтирський, буд. 29 кв. 30;+380 (75) 401-94-34;svitlanavivcharenko@example.org
Хоменко;Ілля;Степанович;Чоловіча;1970-05-19;Археолог;селище Білгород-Дністровський;узвіз Зелена гірка, буд. 96 кв. 87;040-93-31;zteslenko@example.org
Чубай;Варвара;Олександрівна;Жіноча;1961-11-06;Фермер;селище Стебник;проспект Польський узвіз, буд. 23;+380 (02) 157-41-59;sheremethalyna@example.org
Шахрай;Ганна;Сергіївна;Жіноча;1948-01-05;Астрофізик;селище Богодухів;узвіз Ольгіївський узвіз, буд. 779 кв. 26;560-63-75;bhavrylyshyna@example.org
Вернидуб;Вʼячеслав;Степанович;Чоловіча;2005-04-23;Слідчий;хутір Полонне;вулиця Північна, буд. 105 кв. 74;+380 88 020 02 81;babiichukaaron@example.org
Лисенко;Розалія;Григорівна;Жіноча;1959-10-07;Археолог;село Красноперекопськ;сквер Обільна, буд. 565;+380 19 725-16-46;nadiiatelychenko@example.com
Усик;Орися;Олексіївна;Жіноча;1946-10-22;Конструктор;хутір Попасна;узвіз Лиманчик 2-й Лінія 1-ша, буд. 912;004 215-86-62;ukopytko@example.com
Дзиндра;Єлисавета;Степанівна;Жіноча;1963-09-20;Фермер;село Хуст;сквер Стамбульський, буд. 3 кв. 44;+380 70 946-66-83;lessemenchenko@example.com
Панчук;Василина;Олексіївна;Жіноча;1950-08-26;Продюсер;селище Хорол;набережна Бузкова, буд. 686;+380 (40) 147-25-27;shvachkaillia@example.net
Хорішко;Юхим;Сергійович;Чоловіча;1939-08-24;Сантехнік;місто Феодосія;шосе Сотника Лугіна, буд. 3 кв. 585;+380 01 800-26-94;vsmyk@example.com
Михайличенко;Панас;Олександрович;Чоловіча;1983-12-20;Конструктор;хутір Білогірськ;шосе Бузкова, буд. 1 кв. 99;046 424-33-44;anastasiiaonyshchenko@example.net
Шовкопляс;Степан;Сергійович;Чоловіча;1939-10-21;Актор;село Кролевець;узвіз 3-тя Лінія 4-ї ст. Люстдорфської дороги, буд. 63;+380 18 104 72 12;oleksandrisaievych@example.com
Франчук;Ярослав;Тарасович;Чоловіча;1981-12-17;Агроном;село Василівка;узвіз Косовський, буд. 41;+380 31 312-65-08;myron68@example.com
Твердохліб;Лесь;Олексійович;Чоловіча;1971-09-11;Няня;хутір Берестин;сквер Улицька, буд. 700 кв. 2;+380 26 359-25-28;havrylyshynahavrylo@example.net
Романенко;Златослава;Романівна;Жіноча;1999-08-02;Геолог;місто Сокаль;проспект Лінія 44-та, буд. 17;+380 50 410-15-98;ezinkevych@example.org
Тягнибок;Ірина;Юріївна;Жіноча;1947-09-12;Пекар;селище Миргород;площа Сергія Єфремова, буд. 1;000 416-41-35;antonbazylevych@example.org
Червоненко;Устим;Олексійович;Чоловіча;1960-05-31;Бібліограф;хутір Чернівці;набережна Наявний 4-й, буд. 8;289 30 59;ieroshenkozakhar@example.org
Бакуменко;Пилип;Михайлович;Чоловіча;1949-02-20;Електрослюсар;село Каховка;узвіз Тіниста, буд. 8;073-55-44;oavramchuk@example.com
Зінчук;Веніямин;Вікторович;Чоловіча;1940-03-17;Мірошник;місто Снігурівка;площа Пересипська 1-ша, буд. 849 кв. 8;073 214 55 48;panteleimonhavrysh@example.org
Зінчук;Дан;Миколайович;Чоловіча;1970-03-11;Бухгалтер;селище Зугрес;сквер Академіка Корольова, буд. 35;+380 35 639-75-36;prokhirderevianko@example.org
Ващук;Олена;Тарасівна;Жіноча;1990-06-22;Економіст;місто Горішні Плавні;площа Шахтинський, буд. 33;074 755 55 50;hupalostanislav@example.net
Данькевич;Марко;Григорович;Чоловіча;1997-08-23;Реставратор;хутір Семенівка;узвіз Нафтовиків 3-й, буд. 99;+380 18 081-78-83;baidaliza@example.net
Сірко;Ярема;Сергійович;Чоловіча;1953-07-26;Няня;селище Самбір;шосе Бориса Літвака, буд. 89 кв. 6;222 40 87;vasylyna04@example.net
Чарниш;Алевтин;Богданович;Чоловіча;1949-04-05;Музичний редактор;селище Хотин;шосе Старопортофранківська, буд. 6 кв. 544;+380 77 622-40-57;mykhailychenkohennadii@example.net
Зубко;Оксана;Миколаївна;Жіноча;1950-03-28;Диригент;місто Острог;провулок Липнева, буд. 22;268-18-51;abramenkospas@example.com
Дейнека;Соломія;Іванівна;Жіноча;1956-08-19;Гірничий інженер;місто Лисичанськ;набережна Військово-морських сил, буд. 4 кв. 2;050-19-26;viacheslavvashchenko-zakharchenko@example.org
Салій;Григорій;Петрович;Чоловіча;1998-09-27;Співак;селище Тлумач;проспект Лінія 31-ша, буд. 34 кв. 546;445 30 33;oksanaaverchenko@example.org
Якименко;Станіслав;Андрійович;Чоловіча;1994-10-11;Мистецтвознавець;місто Олександрівськ;набережна Польовий 1-й, буд. 0 кв. 77;842 56 07;oiaremko@example.org
Артим;Єфрем;Сергійович;Чоловіча;1947-04-05;Вчитель;село Устилуг;проспект Волокидіна, буд. 14 кв. 1;+380 22 147 32 83;bbevz@example.net
Саченко;Веніямин;Олександрович;Чоловіча;1994-06-21;Клоун;хутір Ялта;проспект Офіцерський 2-й, буд. 65;023 32 43;ivan85@example.net
Штепа;Ілля;Сергійович;Чоловіча;1949-06-03;Підприємець;село Сокиряни;шосе Уральська, буд. 656;+380 77 451-73-99;arkadiidzhus@example.org
Верховинець;Іван;Сергійович;Чоловіча;1943-03-12;Перекладач;хутір Часів Яр;провулок Айвазовського, буд. 23 кв. 46;+380 (08) 763-93-01;abrahamovskaoksana@example.net
Чередник;Ярина;Юріївна;Жіноча;1946-11-24;Лікар;селище Кременець;узвіз Олени Теліги, буд. 725 кв. 217;+380 69 606-50-10;okolodub@example.net
Свириденко;Наталія;Андріївна;Жіноча;1979-08-31;Фольклорист;хутір Хорол;шосе Капітана Гаврікова, буд. 3 кв. 993;+380 00 964-43-11;mieresko@example.com
Їжак;Олександр;Олександрович;Чоловіча;1952-11-12;Сценарист;хутір Луцьк;проспект Флейтовий, буд. 992;036 489-94-82;irynademianenko@example.com
Артюшенко;Стефан;Олександрович;Чоловіча;1978-08-14;Доцент;хутір Сміла;парк Віталія Нестеренка, буд. 843;+380 41 132-32-25;hanna28@example.com
Колесниченко;Дмитро;Михайлович;Чоловіча;1957-03-09;Круп'є;хутір Новоазовськ;вулиця Давида Ойстраха, буд. 861 кв. 55;+380 85 570-08-69;petro12@example.com
Михалюк;Пилип;Андрійович;Чоловіча;1980-04-07;Паралегал;село Моршин;узвіз Жасминна, буд. 66 кв. 7;+380 57 922 03 95;ishcherbak@example.com
Дубина;Онисим;Іванович;Чоловіча;1942-03-29;Психолог;село Костопіль;сквер Айвазовського, буд. 32;080 39 72;ustymshtepa@example.net
Бабиченко;Володимира;Дмитрівна;Жіноча;2000-04-28;Історик;селище Погребище;провулок Шептицького, буд. 290 кв. 3;+380 78 611 59 45;roksolana87@example.org
Ващенко;Спас;Володимирович;Чоловіча;1998-01-12;Реставратор;хутір Остер;парк Фестивальний, буд. 4 кв. 80;+380 26 209-96-35;habelkooleksandr@example.org
Дурдинець;Михайло;Ігорович;Чоловіча;1983-10-14;Археолог;селище Борзна;площа Овідіопольська дорога, буд. 642 кв. 710;+380 (07) 818-99-28;alinaizhakevych@example.org
Жук;Соломон;Тарасович;Чоловіча;1982-12-01;Петрограф;місто Переяслав;вулиця Новиков міст, буд. 970;+380 88 640 42 73;oleksandrcherinko@example.org
Засядько;Едуард;Олегович;Чоловіча;1947-05-22;Адвокат;село Мирноград;набережна Квітковий, буд. 9;+380 40 794-66-66;spashabelko@example.net
Баштан;Веніямин;Михайлович;Чоловіча;1986-07-25;Актор;хутір Козятин;узвіз Задніпровського, буд. 830 кв. 37;077 119 28 28;ikorpaniuk@example.net
Гречко;Алевтин;Олексійович;Чоловіча;1959-03-18;Співак;хутір Берислав;вулиця Хаджибейський 2-й, буд. 643 кв. 90;027 194-36-80;demyd44@example.net
Александренко;Дарина;Володимирівна;Жіноча;2006-08-18;Ріелтор;місто Арциз;проспект Проточний, буд. 87 кв. 17;+380 66 624 43 88;marko92@example.net
Щербань;Златослава;Петрівна;Жіноча;1946-12-03;Випробувач;хутір Балта;парк Пересипська 7-ма, буд. 997;+380 30 250-07-66;sviatoslav04@example.net
Ємець;Вʼячеслав;Володимирович;Чоловіча;1963-11-01;Мінералог;село Мелітополь;провулок Дачний 1-й, буд. 10;008 962-35-95;shamrairuslan@example.org
Балабан;Вʼячеслав;Андрійович;Чоловіча;1946-11-22;Ювелір;місто Чортків;набережна Дмитра Іванова, буд. 0;472-12-46;alinadankevych@example.com
Євтушок;Леон;Сергійович;Чоловіча;1985-06-03;Швачка;село Люботин;проспект Разумовська, буд. 56;+380 49 189-11-63;ielysaveta16@example.net
Іщенко;Богодар;Анатолійович;Чоловіча;2005-04-01;Футболіст;селище Тернопіль;узвіз Маловського, буд. 4 кв. 15;+380 72 029-15-10;ohavrylyshyna@example.net
Алексеєнко;Альбіна;Андріївна;Жіноча;1972-08-01;Різноробочий;місто Ічня;вулиця Новобазарний, буд. 832;423-84-15;orest31@example.com
Батуринець;Марина;Анатоліївна;Жіноча;1999-02-22;Ботанік;селище Кіцмань;парк Ушинського, буд. 23;138-24-80;iushchenkoielysaveta@example.net
Коваленко;Ігор;Петрович;Чоловіча;1989-05-18;Музикознавець;хутір Шахтарськ;площа Сінна, буд. 5;+380 79 412-42-71;okhrim33@example.net
Вдовенко;Орина;Олексіївна;Жіноча;1946-07-23;Геофізик;село Переяслав;шосе Штурвальна, буд. 302 кв. 9;057 531 57 08;hanna97@example.com
Мазур;Владислав;Сергійович;Чоловіча;2005-12-05;Конструктор;місто Яготин;парк Чорноморський, буд. 2 кв. 807;871 99 44;chubairozaliia@example.net
Венгринович;Олег;Сергійович;Чоловіча;1947-09-12;Ювелір;село Івано-Франківськ;шосе Полтавська, буд. 8 кв. 7;016 628-65-76;lizahohol@example.org
Остапчук;Розалія;Петрівна;Жіноча;1967-02-06;М'ясник;хутір Помічна;парк Студентський 2-й, буд. 7;094 968 41 41;goliashmyroslav@example.com
Бабійчук;Альбіна;Дмитрівна;Жіноча;1968-04-07;Льотчик;селище Лутугине;парк Кришталевий, буд. 28 кв. 1;267 03 64;neporozhniimarusia@example.org
Данькевич;Роман;Михайлович;Чоловіча;1940-06-22;Громадський діяч;хутір Бахмут;узвіз Музична, буд. 785 кв. 73;042 425-55-11;komarleon@example.com
Ярош;Вадим;Миколайович;Чоловіча;1996-10-19;Пекар;хутір Бережани;набережна Бахмутська, буд. 55;+380 34 051-05-09;tykhavladyslav@example.com
Кабаненко;Віктор;Михайлович;Чоловіча;1986-10-04;Складальник;хутір Тернопіль;узвіз Миколи Плигуна, буд. 08 кв. 85;+380 56 734-70-11;fedir75@example.org
Данчук;Аврелій;Степанович;Чоловіча;1988-08-11;Мистецтвознавець;місто Боярка;площа Старорізнична, буд. 1;673 21 78;iakivkanivets@example.net
Даньків;Валерій;Романович;Чоловіча;1941-03-11;Педагог;місто Мала Виска;провулок Восьмого березня 1-й, буд. 14 кв. 1;684 52 40;bkybkalo@example.net
Ґалаґан;Костянтин;Вікторович;Чоловіча;1982-07-26;Медик;місто Ужгород;проспект Педагогічний, буд. 59;093 257-77-48;qmazepa@example.org
Зінкевич;Орися;Ігорівна;Жіноча;1939-12-15;Музикант;село Мар'їнка;вулиця Чайкова, буд. 9 кв. 9;201-48-79;pshtokalo@example.com
